所在文件夹,文件名,文件大小(KB),文件夹总大小(KB),文件夹文件总数
H:\核心存储\B站视频,4_20240430~20240501_风吹草动先翘脚_20260324.mp4,125249.8,7982905.46,27
H:\核心存储\B站视频,5_20240501_天朗气清好睡觉——仓鼠的花样睡姿_20260324.mp4,90000.49,7982905.46,27
H:\核心存储\B站视频,6_20240501_沉浸观察：揉揉脸，动动嘴，原地进食4分钟_20260324.mp4,795765.63,7982905.46,27
H:\核心存储\B站视频,7_20240502~20240503_刚认识没多久，看什么都新鲜，喝水也能看很久_20260325.mp4,78618.59,7982905.46,27
H:\核心存储\B站视频,8_20240504~20240507_仓鼠的脑袋里也有烦恼吗_20260325.mp4,249296.32,7982905.46,27
H:\核心存储\B站视频,9_20240508~20240509_鼠生就是吃吃睡睡洗洗动动_20260327.mp4,97081.94,7982905.46,27
H:\核心存储\B站视频,视频序号_拍摄日期_视频标题_剪辑日期.txt,0.0,7982905.46,27
H:\核心存储\B站视频\剪映BGM工程文件截图,10.png,961.75,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,12.png,793.93,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,14-1.png,1002.36,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,14-2.png,1002.69,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,15.png,921.93,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,16.png,608.5,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,18.png,1278.14,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,23.png,1311.2,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,24.png,674.47,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,26-1.png,867.94,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,26-2.png,815.43,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,26-3.png,817.98,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,26-4.png,829.88,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,26-5.png,727.32,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,26-6.png,810.67,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,4.png,900.63,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,5.png,859.27,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,6.png,902.62,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,7.png,923.63,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,8.png,920.83,18830.47,21
H:\核心存储\B站视频\剪映BGM工程文件截图,9.png,899.3,18830.47,21
H:\核心存储\写点东西\梦,孤狼.docx,17.99,33.55,2
H:\核心存储\写点东西\梦,柏树.docx,15.56,33.55,2
H:\核心存储\写点东西\诗句,句子.docx,14.49,27.85,2
H:\核心存储\写点东西\诗句,打油诗.docx,13.36,27.85,2
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_140352.jpg,1785.27,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_140430.jpg,919.07,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_140517.jpg,2193.24,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_140803.jpg,1699.97,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_140833.jpg,1639.14,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141140.jpg,1983.98,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141245.jpg,1765.96,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141316.jpg,1457.75,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141322.jpg,1497.87,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141329.jpg,1455.95,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141403.jpg,1667.66,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141433.jpg,1654.01,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141551.jpg,2221.08,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141609.jpg,1339.57,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141703.jpg,1948.31,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141852.jpg,1951.14,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_141921.jpg,1763.77,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142033.jpg,2043.77,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142124.jpg,1674.77,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142158.jpg,1772.9,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142218.jpg,1685.06,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142301.jpg,2075.77,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142412.jpg,1845.47,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142445.jpg,2391.82,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142604.jpg,1744.55,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142609.jpg,1567.81,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142628.jpg,1493.66,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142724.jpg,785.5,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142750.jpg,1668.08,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142900.jpg,1394.7,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142907.jpg,1393.2,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142912.jpg,1359.28,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_142940.jpg,1202.82,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_143014.jpg,1691.29,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_143040.jpg,2195.45,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_143231.jpg,1117.72,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_143254.jpg,1668.96,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_143310.jpg,1682.32,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\中国古代青铜器,20260223_143323.jpg,716.25,64114.9,39
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_134246.jpg,1349.04,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_134439.jpg,1114.69,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_134641.jpg,1492.64,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_135408.jpg,2315.15,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_135527.jpg,2385.33,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_135746.jpg,2222.33,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_135812.jpg,2090.48,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_135852.jpg,2418.6,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140233.jpg,1576.53,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140247.jpg,1338.32,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140258.jpg,1450.56,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140316.jpg,1809.42,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140339.jpg,1627.17,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140452.jpg,1967.47,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140544.jpg,1674.54,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140553.jpg,1356.31,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140713.jpg,2114.47,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140750.jpg,1618.44,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140753.jpg,1351.66,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140759.jpg,1658.13,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140828.jpg,1397.82,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140830.jpg,1904.65,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_140931.jpg,2219.51,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141023.jpg,2185.51,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141038.jpg,1988.55,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141102.jpg,1556.12,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141148.jpg,1607.93,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141155.jpg,1688.62,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141238.jpg,2557.39,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141331.jpg,2245.77,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141358.jpg,1955.55,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141444.jpg,2469.07,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\上海博物馆\融古烁新——宋元明清铜器的复古与创新,20260222_141453.jpg,2478.82,61186.59,33
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_115445.jpg,5742.77,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_115531.jpg,5282.77,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_121344.jpg,3269.54,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_121534.jpg,2741.82,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_121602.jpg,2553.04,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_121758.jpg,2945.23,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_122312.jpg,5208.07,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_122419.jpg,2748.66,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_122433.jpg,4445.75,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\昙石山遗址博物馆,IMG_20231021_125139.jpg,3960.01,38897.66,10
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院,德化白瓷展入口.jpg,1665.92,2890.62,2
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院,海上丝绸之路的印记入口.jpg,1224.7,2890.62,2
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_171112.jpg,3324.6,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_172005.jpg,3827.81,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_172051.jpg,4239.54,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_172601.jpg,3285.64,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_172754.jpg,2369.32,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_172940.jpg,3387.24,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_173000.jpg,4582.57,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_173042.jpg,2666.62,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_173710.jpg,3940.93,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_173727.jpg,3622.46,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_173731.jpg,3308.33,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_173747.jpg,3997.11,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_174339.jpg,2405.46,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_174428.jpg,2380.87,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20231205_174526.jpg,2141.42,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_171219.jpg,2803.67,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_171734.jpg,3505.42,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_172357.jpg,3263.37,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_172424.jpg,3378.98,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_172510.jpg,3659.92,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_172517.jpg,3483.85,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\大唐盛世 法门珍宝,IMG_20240222_172522.jpg,3974.43,73549.57,22
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\宋词里的福建,IMG_20240912_164901.jpg,3596.03,13365.21,4
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\宋词里的福建,IMG_20240916_172843.jpg,3410.45,13365.21,4
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\宋词里的福建,IMG_20240916_172904.jpg,3340.18,13365.21,4
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\宋词里的福建,IMG_20240916_182753.jpg,3018.56,13365.21,4
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_145452.jpg,2662.0,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_150322.jpg,2699.2,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_150347.jpg,2123.03,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_162156.jpg,2930.1,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163013.jpg,5060.93,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163041.jpg,5296.39,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163149.jpg,5516.42,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163315.jpg,2689.23,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163327.jpg,2743.23,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163553.jpg,3915.48,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163613.jpg,4018.74,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163700.jpg,5337.39,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163706.jpg,5324.69,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163707.jpg,5018.91,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163717.jpg,4979.29,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163729.jpg,6024.42,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163739.jpg,3653.87,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_163902.jpg,5465.75,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164031.jpg,5890.9,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164057.jpg,4347.38,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164112.jpg,2961.37,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164115.jpg,3019.08,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164139.jpg,4457.43,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164428.jpg,2195.37,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164503.jpg,2580.33,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164655.jpg,3062.33,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164705.jpg,3225.77,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164758.jpg,4113.13,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164916.jpg,2844.82,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164927.jpg,3268.19,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164935.jpg,3873.11,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_164952.jpg,3129.95,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165004.jpg,3522.12,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165012.jpg,3071.79,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165041.jpg,3194.06,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165311.jpg,2154.08,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165510.jpg,3004.67,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165523.jpg,2744.59,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165629.jpg,3847.79,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165641.jpg,4178.75,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165658.jpg,2948.48,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165912.jpg,3074.44,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_165941.jpg,2930.51,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170001.jpg,3960.04,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170008.jpg,2734.1,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170054.jpg,2352.24,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170102.jpg,2458.26,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170224.jpg,4180.82,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170339_1.jpg,4477.96,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170352.jpg,6247.2,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170355.jpg,6117.48,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170417.jpg,5374.8,253647.46,66
H:\核心存储\收藏馆（核心馆）\博物馆\福建博物院\故宫·茶世界,IMG_20240103_170426.jpg,5466.77,253647.46,66
